Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas5991           Pavarde5991                      4        10         4         9         1         9         2         3         6         4         5         9        10         6         7         4
Vardas5992           Pavarde5992                      5         7         4         9         8         7        10         2        10         4         7         6         2         4         6         5
Vardas5993           Pavarde5993                      8         8         2         7         3         7         1         8         2         6         9         3         4         4         1         5
Vardas5994           Pavarde5994                      5         6         1         9         6         3         1         7         1         1         7         5         6         3        10         8
Vardas5995           Pavarde5995                      9         9         3         9         4         5         5         9         9         5         9         3        10         4         7         9
Vardas5996           Pavarde5996                      2         3         9         5        10         4        10         3         8         9         1         5         8         5         2         9
Vardas5997           Pavarde5997                      8        10         8         4         7         9         9         9         8         1         7         8         8         5         5         7
Vardas5998           Pavarde5998                      4         4         4         6        10         4         3         5         9         2         1         2         5         6         3         4
Vardas5999           Pavarde5999                     10         2         1        10         1         8         5         1         2         7         2         1         1         2         9         1
Vardas6000           Pavarde6000                      9         7         5         5         9         8         8         3         4         9         1         9         9         9         6         3
Vardas6001           Pavarde6001                      6        10         3         2         2         2         6         6         7         3         9         4         1         1         8         7
Vardas6002           Pavarde6002                      1         6         2         4         7         6         4         6         2         9         1         1         9         1         2        10
Vardas6003           Pavarde6003                      2        10         4         2         9         5         9         2         1         6         3         1         7         9         6         6
Vardas6004           Pavarde6004                      1         1         9         1         2         1         8         1         5         8         9         7         6         8         6         8
Vardas6005           Pavarde6005                     10        10        10         6         4         7         5         5        10         8         9         3         8         5         2         5
Vardas6006           Pavarde6006                      1         2        10         3         8         9         5         3         5         6         4         8         8         9        10         5
Vardas6007           Pavarde6007                      5         2        10        10         8         8         4         7         6         4         3         9         7         9         2         4
Vardas6008           Pavarde6008                      8         2         7         8         1         2        10         5         2         3         5         2         2         1         1         6
Vardas6009           Pavarde6009                     10         2         3        10         6         3        10         6         5         4         5         8         4        10         1         6
Vardas6010           Pavarde6010                      5         4         8         9         9        10        10         3         6         3         8         2         7         9         3         2
Vardas6011           Pavarde6011                      3         7         1         7         9         3         8         5        10         6         9         7         2         3         4         9
Vardas6012           Pavarde6012                      3         2         7         5         1         9         5        10         7         5         1         4         1         7         7         6
Vardas6013           Pavarde6013                      2         8         3         4         5         9         7         9        10        10         2         3         2         4         7         8
Vardas6014           Pavarde6014                      6         1         4         1         7         4         6         7         2         1         8         1         9         1         9         6
Vardas6015           Pavarde6015                      4         9        10         2         2         8         2         2         3         1        10         7         8         1         6         9
Vardas6016           Pavarde6016                      1         2        10         3         2         6         6        10         9         4         7         3         9        10         1         9
Vardas6017           Pavarde6017                      6         3         3         6         3         2         9         5         5         1         8        10         2         7         3         1
Vardas6018           Pavarde6018                      5         5         5         3         8         8         3         8         1         3         9         3         6         7         4         2
Vardas6019           Pavarde6019                      2         5        10         7         8         8         8         3         5         4         6         2         2         6         2         7
Vardas6020           Pavarde6020                      5         4         4         2         9         8         7         2         8         8         4         2         3         9        10         3
Vardas6021           Pavarde6021                      7         1         1         2         6         2         3         5         6         8         1         3         6         6         1        10
Vardas6022           Pavarde6022                      8         1         7         7         8         9         9         1         5         2         9        10         1         4        10         2
Vardas6023           Pavarde6023                      7         3         3         4         4         9         6         1         6         8         1         9         1        10        10         7
Vardas6024           Pavarde6024                      1         5         5         7        10         9         7        10         9         1         1         2         8        10         8         5
Vardas6025           Pavarde6025                      8         8         9         7         8         7         5         2         3         6         6         5         3        10         2         6
Vardas6026           Pavarde6026                     10        10         3         9         1         4         9        10         1         5         9         3         5         2         2        10
Vardas6027           Pavarde6027                     10        10         9         8         4         5         8         1         4         3         2         7         4        10         2         4
Vardas6028           Pavarde6028                      9         4         3         3         7         4         3         5         4         5         4         6         2        10        10         7
Vardas6029           Pavarde6029                      5         7         4         6        10         6         9        10         5         5         8         1         5         2         1         3
Vardas6030           Pavarde6030                      3         2         4         4         5         9         5         6         1         7         1         6         1         8         4         6
Vardas6031           Pavarde6031                      1        10         8         9         4         4         6         9         6         7         1         2         4         9         5        10
Vardas6032           Pavarde6032                      4        10         3         8         9         7         4         9         1         2        10         5         8        10         1         4
Vardas6033           Pavarde6033                      7         4         7        10         2        10         1         5         5         2         5         5         8         1        10         4
Vardas6034           Pavarde6034                      7         3         2         7         1         4         2         2         4         7        10         3         6         1         8         5
Vardas6035           Pavarde6035                      4         9         1         3         6        10         1         2         8         4         1         3         7         6        10         2
Vardas6036           Pavarde6036                      2         7         5         8         3         4         8         1         4         8         5         6         6         1         1         6
Vardas6037           Pavarde6037                      4         1        10         7         4         9         2         8         4        10         5         8         8         7        10        10
Vardas6038           Pavarde6038                     10         3         1         4         1         1         7         4         2         8         9        10         7         6         4         7
Vardas6039           Pavarde6039                      3         6         7         9         8         4         4         4        10        10         4         8         2        10         2         6
Vardas6040           Pavarde6040                      6         6         7         4         1         1         4         3         6         7         5         8         4         6         2         6
Vardas6041           Pavarde6041                      9        10        10         1         1         3         8         2         4         8         9         5         5         1         2         1
Vardas6042           Pavarde6042                      3         1         2         8         7         8         1         6         3         5         6         9         5        10         8         3
Vardas6043           Pavarde6043                      8         3         6         9         5         4         5         3         8         8         4        10         9         3         3         4
Vardas6044           Pavarde6044                      5         8         5         6         9         4         1         4         7         6         7         2         1         8         2         8
Vardas6045           Pavarde6045                      4         1         2         9         1         5         3         3         8         3         6         9         8         2        10         2
Vardas6046           Pavarde6046                     10         9         2        10         6         6         1         6         1         9        10         9         8         1        10         3
Vardas6047           Pavarde6047                      3         1         6        10         7         6         6        10         8         6         7         6         4         9         7         4
Vardas6048           Pavarde6048                      3         4         4        10         2         4         7         9        10         1         4         8        10         8         5         7
Vardas6049           Pavarde6049                      5         8        10         6         4         9         3         1         6        10         3         4         9         2         7         6
Vardas6050           Pavarde6050                      6         3         4         8         1         7         5         2         1         2        10         1         5        10         6         2
Vardas6051           Pavarde6051                      5         1         3         5         4         4         6         1         7         5         7         2         9         8         2        10
Vardas6052           Pavarde6052                      2         2        10         7         5         7         7        10         9         5         3         4         8         2         9         5
Vardas6053           Pavarde6053                      8         8         4         2         4         9        10        10         2         8         9         8         6         4         5         6
Vardas6054           Pavarde6054                      3         7         9         6         3         8        10         7         4         5         9        10         1         7         8         9
Vardas6055           Pavarde6055                      7         1         8         5         5         7         4         9         2         3         4         4        10         9         4         9
Vardas6056           Pavarde6056                      1         8         3         8         3         9         7         5         3         5         7        10         7         6         4         6
Vardas6057           Pavarde6057                      9         3         4         2         8         6         8         5        10         4         1         9         6         8         3         1
Vardas6058           Pavarde6058                     10         2         4         4         8         9         3         3        10         2         6         4         6         6         3        10
Vardas6059           Pavarde6059                      9         3         8        10         9         1         2         4         8         3         5         9         2         5         8         8
Vardas6060           Pavarde6060                      1         4        10         7         1         7         8         8         6         5         5         6         5        10         2         6
Vardas6061           Pavarde6061                      4        10         2         8         8         3         9         1         3         1         7         8         4         6         8         6
Vardas6062           Pavarde6062                      3         2         2         2         5         8         2         7         9         4         8         1         6         1         3         7
Vardas6063           Pavarde6063                      2         2         8        10         2         7        10        10         9         5         2         3         7         8         2         7
Vardas6064           Pavarde6064                      1         1         5         5         2         5        10         7         3         5         4         8         8         1         7         7
Vardas6065           Pavarde6065                     10         2        10         6         5         9         1         9         4         9         8         8         6         1         8         6
Vardas6066           Pavarde6066                      9         9         6         8         1         4         7         5         5         1         4         5         7         5         3         9
Vardas6067           Pavarde6067                      9         9        10         7         8         2         5         1         9        10         6         1         6         6         8         4
Vardas6068           Pavarde6068                      8         9         8         8         1         4         5         2         2         8         6         5         1         4         8         9
Vardas6069           Pavarde6069                      9         4         6         3         7         8         5         5         1         6         1         4        10         9         8         5
Vardas6070           Pavarde6070                      1         6         1         3         6         3        10         8         2        10         2        10         7         4         1         2
Vardas6071           Pavarde6071                      2         3         5         4         2        10         9         2         4         1        10         6         5         2         3        10
Vardas6072           Pavarde6072                      1        10         4         7         7        10         3         8         7         3         1         3         9         5         7         4
Vardas6073           Pavarde6073                      3         6         6         4         9         5         6         1         8         4         6        10         4         3         6         2
Vardas6074           Pavarde6074                      3         6         3         6         2         4         4         3         4         3         8         4         1         2         2         5
Vardas6075           Pavarde6075                      2         5         4        10         2         2        10         8         2         8         7         6        10         8         2         4
Vardas6076           Pavarde6076                      5        10         8         6         6        10         7         9         8         7         7         5         4         3         1        10
Vardas6077           Pavarde6077                      7         4         6         1         4         4         7         1         5         6         9         4        10         5         4        10
Vardas6078           Pavarde6078                      9         9         5         9         6         1         4         1         2         8         8         5         4        10         7         9
Vardas6079           Pavarde6079                      3         6         6         9        10         6         8         6         7        10         9         6         4         7         5         1
Vardas6080           Pavarde6080                      8         1         3         2         5         6         4         7         9         5         1         2         6        10         4         7
Vardas6081           Pavarde6081                      9         7         7         8         4         1         9         3         8         4         2         4         5         1         1         6
Vardas6082           Pavarde6082                      9         8         2         4         9         6         5         7         3         9         3         9         6         6         5        10
Vardas6083           Pavarde6083                      5         8         7         5         2         6         3         3         4         1         9         4         3         3         1        10
Vardas6084           Pavarde6084                      1         7         7         1         6         7         7         7        10         5         8        10         7         2         3         8
Vardas6085           Pavarde6085                      8        10         7         1         2         7         7        10         7         2         2         5         4         8        10         6
Vardas6086           Pavarde6086                     10         9         6         4         9         1         6         2         8         6         5         5        10         3         5         5
Vardas6087           Pavarde6087                      8         1         1         4         5         7         3         8         3         4         2         5         3         8         5         1
Vardas6088           Pavarde6088                      4         3         8         7         2         2         7         3         8         1         7         7         4         4         5         7
Vardas6089           Pavarde6089                      8         7         8         8         8         9         9         6         4         3         6         1        10         9         2         1
Vardas6090           Pavarde6090                      7         7         9         4         7        10         8         8         6         2         2         2         1         3         8         6
Vardas6091           Pavarde6091                      5         9         5         7         8         9         2         8        10         4         8         4         5         8         3        10
Vardas6092           Pavarde6092                      6         3         8        10        10         5         1         5         3         4         8         8         2         6         9         5
Vardas6093           Pavarde6093                      4         4         3         8         2         7         4         7         7         3         9         6         2         5         8         7
Vardas6094           Pavarde6094                     10         4         2         3         9         3         8         4         5         9         1         3        10         8         2         3
Vardas6095           Pavarde6095                      7         3         9         3         8        10         5         2         1         8         6         7         8         3        10         5
Vardas6096           Pavarde6096                      2         8         1         6         8         3         2         1         1         5         6         1         6         8         5         4
Vardas6097           Pavarde6097                      2         3        10         1         8         4         1         2         3         4         1         8         9         3         7        10
Vardas6098           Pavarde6098                     10         2        10         3         8         2         3         2         3        10         7        10         3         3         8         9
Vardas6099           Pavarde6099                      5         8         7         4        10         7         5         7         9         8         6         3         7         4         6        10
Vardas6100           Pavarde6100                      3         4         2         6         3         5         7         7         8         3         5        10         4         6         2         4
Vardas6101           Pavarde6101                      4         1         5         8         9         7         2         8         5         8         5         8         6         1         9         6
Vardas6102           Pavarde6102                     10         7         1        10         5         4         2         9         4        10         5         4         3         7         8         7
Vardas6103           Pavarde6103                      3         4         5         5         8         5         1         4         6         4         2         2        10         9        10         6
Vardas6104           Pavarde6104                      9         5         9         8         4         3         2         5         7         4         9         8         8         9        10         7
Vardas6105           Pavarde6105                      7         6         5         3         1         9         5         3         7         9         5         1         3         1         8         1
Vardas6106           Pavarde6106                      7         7         9         4         5         8         8         7         7         1         1        10         1         2        10         5
Vardas6107           Pavarde6107                      5         3         9         8         1         8         9         2         1        10         1         2         8         4         7         1
Vardas6108           Pavarde6108                      8         5         5         3         7         9         4         5         9         3         5         4         6        10         2         5
Vardas6109           Pavarde6109                      9         6         2         4         8         5         3         3         1         6         2         5         3         1         4         2
Vardas6110           Pavarde6110                      1         7        10         5        10         5         8         7         9         6         7         9         2         7         9         6
Vardas6111           Pavarde6111                      8         7         4         6         3         7         3        10         8         5         7         4         8         1         8         5
Vardas6112           Pavarde6112                     10         9         4         6         4         1         7        10         3         3         9         1         5         8         2         7
Vardas6113           Pavarde6113                      8         7         8         9         4         8         5         4         4         8         9         7         4         4         4         7
Vardas6114           Pavarde6114                      7         6         5         9         5         5         1         6         7         6         1         3         5         3         3         6
Vardas6115           Pavarde6115                     10         1         7        10         2        10         1         8         5         2         2         9         8         6         4         8
Vardas6116           Pavarde6116                      5         8         8         5         2         9         7         3         9        10        10         8         3         3         8         4
Vardas6117           Pavarde6117                      7         1         2         6         2         5         7         3        10         8         8         7         3         3         1        10
Vardas6118           Pavarde6118                      5         9         9         2         9         5         4         6         7         3         1         4         4         9         2         8
Vardas6119           Pavarde6119                      3        10         5         5         5         3         8         6         7         1         1         4         8        10         5         3
Vardas6120           Pavarde6120                      9         1         3         6         8         9        10         3         7         3         2         6         3         9         8         6
Vardas6121           Pavarde6121                      6         5         4         5         3         8         7         2         7         1         4         5         1         4         6         5
Vardas6122           Pavarde6122                      4         7         8        10         3         5         7         7         9         3         8         1         8         1         5         7
Vardas6123           Pavarde6123                      6         5         5         3        10         2        10        10         2         4         9         6         5         6         6         8
Vardas6124           Pavarde6124                      4         8         7         9         4         5         7        10         8         4         3         3         7         3         2         4
Vardas6125           Pavarde6125                      9         8         2         8         1         2         6         5         1         6         4        10         8         5        10         6
Vardas6126           Pavarde6126                      7         5         6        10         3        10         1         2         5         5         3         4         6        10         3         9
Vardas6127           Pavarde6127                      9         7        10         6         8         2         2         6         7         7         8         8         2         8         9         7
Vardas6128           Pavarde6128                      2         6         3         2         4         4         5         2         4         9         2         7         6         6         8         3
Vardas6129           Pavarde6129                     10         8         5         4         8         7         6         4         6         8         8         1         3         1         6         4
Vardas6130           Pavarde6130                      9         2         3         6         2         1         5         8        10         2         1         3         4         9         7         5
Vardas6131           Pavarde6131                     10         1         3         2         9         7        10         4         7         8         2         1         2         2         8         6
Vardas6132           Pavarde6132                      7         7        10         9         6         5         1         3         3         5         8         6         2         3         4         6
Vardas6133           Pavarde6133                      4         2         2         9        10         3         9        10         8         5         1        10         4         1         1         4
Vardas6134           Pavarde6134                      7         8         1         8         8         8        10         3         3         2         5         7         9         7         5         6
Vardas6135           Pavarde6135                      5         2         6         4         4         7         6         3         5         1        10        10         4         7         8        10
Vardas6136           Pavarde6136                      9         8         8         4         3         1         5        10         6         5         1         3         8         9         9         8
Vardas6137           Pavarde6137                      4         2         5         9         8         8         5         5         6         3         5         3         2         7         7         4
Vardas6138           Pavarde6138                      6         8         3         4         2        10         6        10        10         8         4         5         5         6         4         4
Vardas6139           Pavarde6139                      6         5         1         7        10         3         5        10         3         7         1        10         7        10         5         9
Vardas6140           Pavarde6140                      3         7         2         9         2         5        10         4         3         4         6         7         7         5         1         2
Vardas6141           Pavarde6141                      7         6         5         8        10         8         2        10         5         1         2         6         7        10         2         6
Vardas6142           Pavarde6142                      8         9         4        10         9         7         2         4        10         9         2         4         2         3         1        10
Vardas6143           Pavarde6143                      3         4         9         8         5         2         4         4         1         9         9         9         1         7         5         4
Vardas6144           Pavarde6144                      4         9         8         2         6         8         3         6         6         4        10         9         2        10         5         2
Vardas6145           Pavarde6145                      6         7         4         6         2         7         3         3         6         3         1         4         8         7         8         5
Vardas6146           Pavarde6146                      1        10         5         4         9         8         6         6         2         9         4         7         3         1         7         6
Vardas6147           Pavarde6147                      9         5         1         8         6         1         5        10         4         9         9         2         6         4         8         8
Vardas6148           Pavarde6148                      2         3         2         5         9         7         3         5         6         5         2         7         1         6         5         5
Vardas6149           Pavarde6149                      8         5        10         2         9         1         5         8         4         6         2         8         8         7         6         5
Vardas6150           Pavarde6150                      2         8         2         4         5         4         8         7        10         4         3         9         7         9         6         6
Vardas6151           Pavarde6151                      1         8         4         1        10         9         8         3         7         3         6         5         7         4         2         4
Vardas6152           Pavarde6152                      7         5         6         1         5         6         8         8         3         9         7         6         9         6         8         7
Vardas6153           Pavarde6153                      7         6         7         4         2        10         2         4         9         9         2         6         4         5         7         5
Vardas6154           Pavarde6154                      7         7         3         1        10         4         2         9        10         8         1        10         1         9         4         9
Vardas6155           Pavarde6155                      7         3         6         7         6         6         5        10         8         6         6         2         6         8         2         1
Vardas6156           Pavarde6156                      2         9         5         1         7         3         2         3         6        10         3         8         7         1         1        10
Vardas6157           Pavarde6157                      4         2         2         1         9         7         9         3         5         7         1         2         8         1         9         5
Vardas6158           Pavarde6158                      7         8         4        10         6         7         8         6        10         1         7         1         2         5         6         9
Vardas6159           Pavarde6159                      3         8         3         2         3        10         9         5         4         8         9         6         8         9         5         3
Vardas6160           Pavarde6160                      7         4         9         8         2         8         6         2         8         6         2         6         1         5         8         2
Vardas6161           Pavarde6161                     10         2         2         6         4         9         8        10         4         6         2         8         3         3        10         5
Vardas6162           Pavarde6162                      8         8         7        10         9         9         1        10         3         7        10         1         8         6         3         3
Vardas6163           Pavarde6163                      6         9         3        10         3         4         9         3         4         1         6         7         8         7        10         7
Vardas6164           Pavarde6164                      1         1         7         2         4         8         1         9        10         6         6         6         2        10         2         2
Vardas6165           Pavarde6165                      1         9         2        10         6        10         5         8         1         8         5         8         4         2         9         4
Vardas6166           Pavarde6166                      2         6         2         3        10         6         3         9        10         1         6         7         4         2         7         7
Vardas6167           Pavarde6167                      1         1         1         1         9        10         8         5         5         4         9         4         8        10         7         6
Vardas6168           Pavarde6168                      2         2         5         8         7         8         3         2         3         9         8         2         8         4         8         5
Vardas6169           Pavarde6169                      7         6         8         1         3         1         6         6         4         1         5         6         6         8         4         1
Vardas6170           Pavarde6170                      4         6         7        10         5         7         3         1         3         9         2        10         4         7         4         8
Vardas6171           Pavarde6171                      4         2         3         3         2         4        10         7         7         2        10         1         1         5         2         9
Vardas6172           Pavarde6172                      1         4         3        10        10         7         9         2         7         2         8         4         4         5        10         5
Vardas6173           Pavarde6173                      4         2         1         6         9         8         4         2         6         9         9        10         2         9        10         3
Vardas6174           Pavarde6174                      9         9         5         7         7        10         2        10         5         5         9         8         7        10         2         7
Vardas6175           Pavarde6175                      4        10         9        10         5         8         6         3        10         8         6         5         5         3         9         6
Vardas6176           Pavarde6176                      4         2         1         9         1         9         3         4         9         8         7         2         4        10         1         5
Vardas6177           Pavarde6177                      9         2         6         9         2         9         9         4         7         7         5         8        10         6         3         2
Vardas6178           Pavarde6178                      7         1         9         9         4         7         5         8         2         4         8         4         4         7         3         8
Vardas6179           Pavarde6179                      9         5         5         7         9         9         1         3         2         4         6         2         8         4         4         4
Vardas6180           Pavarde6180                      2         1         6         8         9        10         5         1         4         5         4         1         4         1         5         1
Vardas6181           Pavarde6181                      5         1         9         6        10         6         4         4         2         4         6         6         3         3         2         2
Vardas6182           Pavarde6182                      5         4         3         4         6         2         4         5         8         9        10         5         8         3         8         9
Vardas6183           Pavarde6183                      9         9        10         9         2         1         9         8         5         3         6         1         5         9         3         3
Vardas6184           Pavarde6184                      4         3         8         9         1         3        10        10         3         2        10         5        10         2         2         7
Vardas6185           Pavarde6185                      5         5         4         9         1         7         3        10         4         7         5         8         2         6         7         8
Vardas6186           Pavarde6186                      9         9         7         5         5         8         7         3         2         9        10         8         4         5         9         3
Vardas6187           Pavarde6187                      1        10         1         3         2         3         9         2         4         6         8         3         3         8         9         1
Vardas6188           Pavarde6188                      7         5         4         1         2         4         2         9         2         2         4         5         4         7         7         6
Vardas6189           Pavarde6189                      7         5         8         7         1        10         2         1         3         5         9         5        10         5        10         1
Vardas6190           Pavarde6190                      8         3         1         7         2         1         5         8         6         1         2         6         6         6         3         9
Vardas6191           Pavarde6191                      4         9         5        10         8        10         2         9         4         1         6         2         2         9         1        10
Vardas6192           Pavarde6192                     10        10         1         4        10         2         2         8         7         1         2         7         3         3         5        10
Vardas6193           Pavarde6193                      4         8         7         2         1         9         1         8         8         8         3         8         1         1         2        10
Vardas6194           Pavarde6194                      5         1         5         3         2         3         9         5         3         1         8         8         8         4         1         3
Vardas6195           Pavarde6195                      8         4         2        10         3         7        10         9         7         8         8         8         9         5         1         9
Vardas6196           Pavarde6196                     10        10         2         2        10         2         4         6         9         3         6         7         2         5         5         3
Vardas6197           Pavarde6197                      9         3         3         5         3         4         3         7         7         1         5        10         7         6         5         5
Vardas6198           Pavarde6198                      2         2         7         9        10        10         6         6         7         3         8         5         7         6         6         7
Vardas6199           Pavarde6199                      2         6         3         8        10         3         7         6         5         4         8         6         2         5         1         5
Vardas6200           Pavarde6200                      1         6         5         7         9        10         1         5         2         1         3         4        10         3         9         4
Vardas6201           Pavarde6201                      2         5         4         1         8         1         5         2         9         5         9         2         8         6         2         3
Vardas6202           Pavarde6202                      6         6         2        10        10         4        10         3         2         2         4         3         1         8         8         9
Vardas6203           Pavarde6203                      7         4        10         7        10         2         3         4         1         5         1         4         8         8         5         7
Vardas6204           Pavarde6204                      4         2         9         9         2         9         1         4         7         5         6         9         3         4         6        10
Vardas6205           Pavarde6205                      4         7         6         5         4         9         1         9         9         8         1         5         1         2         3         3
Vardas6206           Pavarde6206                      9         7         3         9         5         1         2         9         5         8         3         6         6         7         7         3
Vardas6207           Pavarde6207                      8         8         8         7         4         8         7         2         6         9         9         1         9         5         4         1
Vardas6208           Pavarde6208                      7         6         9         5         3         7         6         3         5         5         7         7         1         9         6         2
